City,State,Zip,Longitude,Latitude
Manchester,NH,03102,-71.4727,43.0037
Salem,NH,03079,-71.2459,42.7744
Clifton,NJ,07014,-74.1342,40.8274
Fairfield,NJ,07004,-74.2733,40.8929
Mount Laurel,NJ,08054,-74.9564,39.9265
Paramus,NJ,07652,-74.0724,40.9473
Runnemede,NJ,08078,-75.0715,39.858
Secaucus,NJ,07094,-74.0494,40.7902
Somerset,NJ,08873,-74.5453,40.5521
Wayne,NJ,07470,-74.273,40.9472
West Long Branch,NJ,07764,-74.0198,40.3012
Albuquerque,NM,87106,-106.6217,35.0582
Albuquerque,NM,87107,-106.6219,35.1107
Albuquerque,NM,87109,-106.5852,35.1603
Albuquerque,NM,87109,-106.5888,35.1609
Albuquerque,NM,87121,-106.7084,35.1035
Artesia,NM,88210,-104.4238,32.8417
Carlsbad,NM,88220,-104.2313,32.3729
Clovis,NM,88101,-103.1963,34.444
Deming,NM,88030,-107.7133,32.2716
Farmington,NM,87401,-108.1915,36.7299
Gallup,NM,87301,-108.6656,35.5314
Hobbs,NM,88240,-103.1575,32.7368
Las Cruces,NM,88005,-106.7873,32.2906
Las Cruces,NM,88005,-106.7882,32.2923
Roswell,NM,88201,-104.5199,33.4158
Ruidoso Downs,NM,88346,-105.6225,33.3255
Santa Fe,NM,87507,-106.0192,35.6351
Santa Rosa,NM,88435,-104.6683,34.9455
Tucumcari,NM,88401,-103.7231,35.1546
Ely,NV,89301,-114.8707,39.2466
Las Vegas,NV,89115,-115.0619,36.238
Las Vegas,NV,89117,-115.3032,36.1457
Las Vegas,NV,89118,-115.1903,36.1005
Las Vegas,NV,89119,-115.1237,36.0705
Las Vegas,NV,89128,-115.2477,36.2115
Las Vegas,NV,89169,-115.1547,36.1168
Reno,NV,89502,-119.7824,39.5095
Armonk,NY,10504,-73.7073,41.121
Batavia,NY,14020,-78.1931,43.0173
Bohemia,NY,11716,-73.0955,40.7797
Brooklyn,NY,11215,-73.993,40.669
Elmsford,NY,10523,-73.8174,41.0735
Garden City,NY,11530,-73.6035,40.7339
Johnson City,NY,13790,-75.9709,42.1247
Latham,NY,12110,-73.7597,42.7511
Long Island City,NY,11101,-73.9282,40.744
New York,NY,10001,-73.9866,40.7477
Ozone Park,NY,11420,-73.8068,40.6841
Plattsburgh,NY,12901,-73.4965,44.6976
Rochester,NY,14606,-77.6794,43.1649
Rochester,NY,14623,-77.6163,43.1069
Verona,NY,13478,-75.5925,43.1223
Williamsville,NY,14221,-78.6966,42.9479
