ID,Rural,Income,Race,Expenditure,Kids
1000464,1,46617,1,10504.6001,0
1000465,0,13000,2,3997.8334,1
1000466,0,15500,1,6781.4333,0
1000467,1,13766,1,2359,0
1000468,0,65482,1,10078.8333,0
1000469,0,98040,1,17303.0222,0
1000470,0,11700,1,6901.6667,2
1000471,0,191000,1,10598.6667,0
1000472,0,48000,1,3240,1
1000473,0,34700,1,3675.7334,0
1000474,0,34000,1,5267.1667,1
1000475,0,34000,2,5936.7333,1
1000476,0,468084,1,14989.8334,2
1000477,0,400,2,7314.9667,1
1000478,0,24426,1,3526.0001,0
1000479,0,40000,1,6631.3333,0
1000480,0,21304,1,3145.6667,0
1000481,1,16800,1,6219.3333,0
1000482,0,26000,1,3941.1667,0
1000483,0,51000,1,12067.3333,0
1000484,0,108000,1,18182.3333,2
1000485,0,145000,1,8756.1667,0
1000486,0,185000,4,60761.0222,2
1000487,0,343185,1,28316.1447,2
1000488,0,5000,1,4088.1666,0
1000489,0,110000,1,11831.8333,0
1000490,0,70000,1,4970.8333,0
1000491,0,34878,4,4433,0
1000492,0,7500,1,2155.8334,1
1000493,0,1285,1,2716,0
1000494,0,55102,2,7471.3333,0
1000495,0,52380,1,12141.4999,1
1000496,0,31000,1,3764.6667,0
1000497,0,26000,1,11313.0999,0
1000498,0,69826,1,5403.9333,0
1000499,0,25000,1,4908.8334,1
1000500,0,57200,1,4067.3334,0
1000501,0,56926,1,9329.5,0
1000502,0,198000,1,19844.5,1
1000503,1,50799,1,21390,0
1000504,0,20546,4,4086.6667,0
1000505,0,70000,2,6335.5,0
1000506,0,16026,1,2999,0
1000507,0,16836,1,2734.3333,0
1000508,0,162000,1,10574.9999,0
1000509,0,59000,1,9220.1667,4
1000510,0,35022,1,7744.6667,0
1000511,0,83002,1,9723.5001,0
1000512,0,42500,1,9310.3333,3
1000513,0,29400,1,25492.8667,0
1000514,0,116250,2,13323.1666,1
1000515,0,41600,1,9611.6667,0
1000516,0,55200,1,7600.4667,0
1000517,0,105626,4,15187.3334,0
1000518,0,73000,3,13811.8334,0
1000519,0,98050,1,9568.8333,0
1000520,0,30254,1,4081,0
1000521,0,13506,1,1547.3333,0
1000522,0,36648,1,9430.6667,0
1000523,0,93000,1,8888.1667,0
1000524,0,112000,1,12171.9001,2
1000525,0,57784,6,8150.1667,1
1000526,0,27200,1,6634.6667,3
1000527,0,25052,1,11517.3333,0
1000528,0,12000,1,2877.6667,2
1000529,0,87987,1,7434.3333,0
1000530,0,60003,1,9107.6667,0
1000531,1,31000,1,5670.3334,0
1000532,0,10284,5,5203.9,1
1000533,0,42410,1,6734.0001,0
1000534,1,22046,1,2957.8334,0
1000535,0,5724,6,1279.3333,0
1000536,0,174000,1,15602.1667,2
1000537,0,16886,2,5587.9001,4
1000538,0,36000,1,9107.3666,0
1000539,0,43000,4,7095.6667,0
1000540,0,18426,1,12765.6667,0
1000541,0,95000,1,6603.2667,0
1000542,1,19098,1,2857.3333,0
1000543,1,1626,1,4135,0
1000544,0,79200,1,7453.0001,0
1000545,0,62000,1,12857.7333,0
1000546,0,40800,1,5547.6667,0
1000547,0,112000,1,4161.3333,0
1000548,0,71882,1,6089,0
1000549,0,64600,1,8564.3333,1
1000550,0,84124,1,7622.3333,0
1000551,0,30328,2,5332.3333,1
1000552,0,12000,1,3183.5666,0
1000553,0,7800,1,4582.3333,0
1000554,0,79760,1,10240.3333,2
1000555,0,44503,1,15632.5001,0
1000556,0,11950,2,16522.6667,0
1000557,0,41304,1,5371.6667,0
1000558,0,13178,1,24649,0
1000559,0,20154,1,2045.3333,0
1000560,0,7800,1,2018.3333,0
1000561,0,134000,1,12403.3333,2
1000562,0,57442,1,39891.3999,0
1000563,0,71630,1,8727.5,0
1000564,0,145000,1,10168.4332,0
1000565,0,10117,1,2510,0
1000566,0,184100,1,54157.6887,0
1000567,0,140000,4,15683.1887,0
1000568,0,2080,1,6240.8333,0
1000569,0,48000,2,8968.9,0
1000570,0,29652,1,5031.6667,0
1000571,0,96536,1,10474.3335,2
1000572,0,150000,1,23001.5113,0
1000573,0,93500,1,13297.1333,0
1000574,0,100200,1,8533.4333,0
